"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
47,"Chordata","Mammalia","Chiroptera","Pteropidae","Epomophorus","gambianus",,"brain size",4330,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
48,"Chordata","Mammalia","Chiroptera","Pteropidae","Pteropus","edwarsi",,"brain size",8000,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
1,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Artibeus","jamaicensis",,"body mass",37.5,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
2,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Artibeus","lituratus",,"body mass",58.7,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
3,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Carollia","perspicillata",,"body mass",16,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
4,"Chordata","Mammalia","Chiroptera","Pteropidae","Casinycteris","argynnis",,"body mass",40.5,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
5,"Chordata","Mammalia","Chiroptera","Pteropidae","Cynopterus","brachyotis",,"body mass",29,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
6,"Chordata","Mammalia","Chiroptera","Pteropidae","Cynopterus","horsfieldi",,"body mass",53,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
7,"Chordata","Mammalia","Chiroptera","Desmodontidae ","Diaemus","youngi",,"body mass",34.6,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
8,"Chordata","Mammalia","Chiroptera","Desmodontidae ","Diaemus","rotundus",,"body mass",30,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
9,"Chordata","Mammalia","Chiroptera","Pteropidae","Eonycteris","spelea",,"body mass",50,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
10,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Glossophaga","soricina",,"body mass",11.2,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
11,"Chordata","Mammalia","Chiroptera","Hipposideridae ","Hipposideros","bicolor",,"body mass",8.4,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
12,"Chordata","Mammalia","Chiroptera","Hipposideridae ","Hipposideros","caffer",,"body mass",10.7,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
13,"Chordata","Mammalia","Chiroptera","Pteropidae","Hypsignathus","monstrosus",,"body mass",340,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
14,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Leptonycteris","curasoae",,"body mass",24.5,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
15,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Mimon","crenulatum",,"body mass",14.8,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
16,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Mormoops","megalophylla",,"body mass",15.6,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
17,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","bechsteini",,"body mass",7.5,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
18,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","bocagei",,"body mass",7.6,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
19,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","dasycneme",,"body mass",15,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
20,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","daubentoni",,"body mass",7,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
21,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","myotis",,"body mass",25,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
22,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","mystacinus",,"body mass",4,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
23,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","nattereri",,"body mass",7,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
24,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Myotis","nigricans",,"body mass",4.5,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
25,"Chordata","Mammalia","Chiroptera","Noctilionidae ","Noctilio","leporinus",,"body mass",58.5,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
26,"Chordata","Mammalia","Chiroptera","Nycteridae ","Nycteris","arge",,"body mass",10.6,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
27,"Chordata","Mammalia","Chiroptera","Vespertilionidae ","Nyctalus","noctula",,"body mass",25,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
28,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Phyllostomus","discolor",,"body mass",33,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
29,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Pteronotus","davyi",,"body mass",10.6,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
30,"Chordata","Mammalia","Chiroptera","Rhinolophidae ","Rhinolophus","hipposideros",,"body mass",7.15,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
31,"Chordata","Mammalia","Chiroptera","Emballonuridae ","Rhynchonycteris","naso",,"body mass",4.3,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
32,"Chordata","Mammalia","Chiroptera","Pteropidae","Rousettus","aegyptiacus",,"body mass",130,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
33,"Chordata","Mammalia","Chiroptera","Emballonuridae ","Saccopteryx","bilineata",,"body mass",8,"g",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","",""
