"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
14,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.3,"mg",,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
14,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.11,"(O2) ul/h",5,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
15,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.3,"mg",,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
15,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.07,"(O2) ul/h",5,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
16,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.37,"mg",,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
16,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.09,"(O2) ul/h",5,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
17,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.37,"mg",,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
17,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.2,"(O2) ul/h",5,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
18,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",1.5,"mg",,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
18,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.16,"(O2) ul/h",5,,3,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
