"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
16,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes","sp.","","body mass",88.85,"mg",,,8,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
16,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes","sp.","","metabolic rate",493,"(O2) ul/g/h",20,,8,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
17,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Euschides","luctata","","body mass",83.8,"mg",,,2,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
17,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Euschides","luctata","","metabolic rate",680,"(O2) ul/g/h",20,,2,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
18,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Trogloderus","costatus","","body mass",29.87,"mg",,,3,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
18,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Trogloderus","costatus","","metabolic rate",440,"(O2) ul/g/h",20,,3,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
19,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Anepsius","brunneus","","body mass",6.15,"mg",,,11,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
19,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Anepsius","brunneus","","metabolic rate",506,"(O2) ul/g/h",20,,11,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
20,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Sphaeriontis","dilatata","","body mass",46,"mg",,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
20,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Sphaeriontis","dilatata","","metabolic rate",517,"(O2) ul/g/h",20,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
